,Return
2018-01-17,0.008285858170211935
2018-01-18,-0.0008978954457674444
2018-01-19,0.0038956423678467708
2018-01-22,0.008615619744465506
2018-01-23,0.005155772197794667
2018-01-24,-0.0018943304887239797
2018-01-25,-0.0006394382606388964
2018-01-26,0.012102479218331217
2018-01-29,-0.005747637627243778
2018-01-30,-0.008791523745780926
2018-01-31,0.002755111370732705
2018-02-01,-0.008537490196277798
2018-02-02,-0.018464471402635685
2018-02-05,-0.031313379674020876
2018-02-06,0.018761503456263078
2018-02-07,-0.010949241244151742
2018-02-08,-0.034222747204841086
2018-02-09,0.012312612629700279
2018-02-12,0.014545016212907397
2018-02-13,0.004550687081064341
2018-02-14,0.0122610973314429
2018-02-15,0.014492969907391285
2018-02-16,-0.0018268697236372166
2018-02-20,-0.0007970787764347204
2018-02-21,-0.00495954226604655
2018-02-22,0.0007465245129339005
2018-02-23,0.017178241355742713
2018-02-26,0.010462675508345577
2018-02-27,-0.010475590875253257
2018-02-28,-0.004758521769020151
2018-03-01,-0.011805309141351373
2018-03-02,0.005267215457467958
2018-03-05,0.008509600163630324
2018-03-06,0.0033901703904374476
2018-03-07,0.0011278067124219104
2018-03-08,0.005337942050489663
2018-03-09,0.014050385764406037
2018-03-12,0.0041475063706592425
2018-03-13,-0.008875667293697018
2018-03-14,0.0005359773514349147
2018-03-15,-0.0008105291596816766
2018-03-16,-0.002349787948185962
2018-03-19,-0.016589598989458925
2018-03-20,0.0016061789739942086
2018-03-21,-0.0027250203307559546
2018-03-22,-0.01856666733824152
2018-03-23,-0.020708274014916723
2018-03-26,0.027205886571698944
2018-03-27,-0.02195970856553996
2018-03-28,-0.007485500726496976
2018-03-29,0.0145971731475504
2018-04-02,-0.021900508220619223
2018-04-03,0.00787302311764032
2018-04-04,0.011412673248307215
2018-04-05,0.0035947250268324404
2018-04-06,-0.01801753418003401
2018-04-09,0.005625122333712014
2018-04-10,0.01628501429074914
2018-04-11,-0.0038754930771367716
2018-04-12,0.007575489270685064
2018-04-13,-0.003316976402951251
2018-04-16,0.006331235949972212
2018-04-17,0.01583242563489954
2018-04-18,-1.6354803588967666e-05
2018-04-19,-0.008311110150781785
2018-04-20,-0.012962008190234672
2018-04-23,-0.0016549541260831317
2018-04-24,-0.016705760153506985
2018-04-25,-7.549894370360016e-05
2018-04-26,0.01616656091013283
2018-04-27,0.0019827291812710753
2018-04-30,-0.0056303788541930905
2018-05-01,0.006761245354468712
2018-05-02,-0.005142381753401822
2018-05-03,0.0003806989375572825
